<p>=F0=9F=98=81</p>,😁
<p>=F0=9F=8C=97</p>,🌗
<p>=F0=9F=8C=98</p>,🌘
<p>=F0=9F=8C=9A</p>,🌚 
<p>=F0=9F=8C=9C</p>,🌜
<p>=F0=9F=8C=9D</p>,🌝
<p>=F0=9F=8C=9E</p>,🌞
<p>=F0=9F=8C=B2</p>,🌲
<p>=F0=9F=8C=B3</p>,🌳
<p>=F0=9F=8D=8B</p>,🍋
<p>=F0=9F=8D=90</p>,🍐
<p>=F0=9F=8D=BC</p>,🍼
<p>=F0=9F=8F=87</p>,🏇
<p>=F0=9F=8F=89</p>,🏉
<p>=F0=9F=8F=A4</p>,🏤
<p>=F0=9F=90=80</p>,🐀
<p>=F0=9F=90=81</p>,🐁
<p>=F0=9F=90=82</p>,🐂
<p>=F0=9F=90=83</p>,🐃
<p>=F0=9F=90=84</p>,🐄
<p>=F0=9F=90=85</p>,🐅
<p>=F0=9F=90=86</p>,🐆
<p>=F0=9F=90=87</p>,🐇
<p>=F0=9F=90=88</p>,🐈
<p>=F0=9F=90=89</p>,🐉
<p>=F0=9F=90=8A</p>,🐊
<p>=F0=9F=90=8B</p>,🐋
<p>=F0=9F=90=8F</p>,🐏
<p>=F0=9F=90=90</p>,🐐
<p>=F0=9F=90=93</p>,🐓
<p>=F0=9F=90=95</p>,🐕
<p>=F0=9F=90=96</p>,🐖
<p>=F0=9F=90=AA</p>,🐪
<p>=F0=9F=91=A5</p>,👥
<p>=F0=9F=91=AC</p>,👬
<p>=F0=9F=91=AD</p>,👭
<p>=F0=9F=92=AD</p>,💭
<p>=F0=9F=92=B6</p>,💶
<p>=F0=9F=92=B7</p>,💷
<p>=F0=9F=93=AC</p>,📬
<p>=F0=9F=93=AD</p>,📭
<p>=F0=9F=93=AF</p>,📯
<p>=F0=9F=93=B5</p>,📵
<p>=F0=9F=94=80</p>,🔀
<p>=F0=9F=94=81</p>,🔁
<p>=F0=9F=94=82</p>,🔂
<p>=F0=9F=94=84</p>,🔄
<p>=F0=9F=94=85</p>,🔅
<p>=F0=9F=94=86</p>,🔆
<p>=F0=9F=94=87</p>,🔇
<p>=F0=9F=94=89</p>,🔉
<p>=F0=9F=94=95</p>,🔕
<p>=F0=9F=94=AC</p>,🔬
<p>=F0=9F=94=AD</p>,🔭
<p>=F0=9F=99=83</p>,🙃
<p>=F0=9F=99=8C=F0=9F=8F=BF</p>,🙌🏾
